date,AAPL,MSFT,AMZN,NVDA,GOOGL,GOOG,META,TSLA,BRK-B,JPM,JNJ,V,UNH,PG,MA,HD,BAC,CVX,LLY,XOM,AVGO,COST,ABBV,PFE,MRK,PEP,KO,ADBE,CSCO,WMT,MCD,ACN,CRM,TMO,DIS,LIN,NFLX,ABT,DHR,WFC,CMCSA,VZ,NEE,NKE,PM,TXN,HON,UPS,LOW,RTX,MS,INTC,GS,AMD,IBM,SBUX,CAT,DE,UNP,BA
2020-03-31,0.030011974447982703,0.016675826625937206,0.029998042583731496,0.016674458415603728,1.9232304112641052e-06,0.016668755317841615,0.01667107829816788,4.172493449557547e-06,0.02621334993873116,0.01667032581185887,0.020709482246565415,0.016664964960151258,0.02540742935338111,0.0300030162128685,0.02999577126566061,0.01095949589729683,0.016673702430597827,0.006201224363075241,0.03000147255050255,0.03000897511979814,3.4041625429659617e-06,0.008858307389381793,3.2288022902736102e-06,0.012795257695691785,0.02999573068430819,2.642631768840792e-07,0.029997564492888828,0.03000330594611304,0.01667074882485627,0.016668494246885133,0.016662883560479586,0.023343167794927157,1.3911314085427488e-06,0.005988772452169205,0.004086502145716361,-1.5363443774977504e-06,0.030005564419865696,-2.117344344922313e-06,0.0300011626138301,0.030005849321184906,0.005239096547788607,0.03000829557901238,0.028997613917326425,0.030010696654215508,1.8185180069994268e-06,0.007950067362936845,0.030001891323051793,0.03000360021096614,0.02510840512628933,0.016668937758098735,3.6284907419744066e-06,4.550926190316905e-06,0.021513354025310502,0.006880718151101382,0.030004785375327327,-3.5626088515471676e-06,0.030009624276334263,3.8939954064309974e-06,0.03000772361854255,0.0062814490197988055
2020-06-30,2.69857544906281e-06,0.03000873985403877,0.030001421973966533,0.016690951515515747,2.4663057189339802e-06,0.016675775102755447,0.025029124666193073,0.01240916275874524,0.02999463647042648,0.009977716202419077,0.0078022170030795646,0.029996880410839814,0.00814785335335991,0.03000678974292067,0.017538063460398427,0.009525718839297577,0.01666144055696935,0.006194018060218429,0.030006432915861615,0.030005039840103248,0.01471959697147394,0.008866220417459821,0.004857185467257944,0.012786574273604422,0.00671306573686746,1.8832073504173007e-06,0.029998715011946814,0.006203139224917448,0.016425278990338677,4.132061978478759e-06,0.019716559391905388,0.02999059314905041,-1.5376286776693841e-06,0.024942713433561924,0.023447246299722037,0.029992947791844634,0.03000822298524747,0.030004328088285837,0.030003942649859772,0.017929524018014835,0.02999958500161311,0.03000726120700871,0.022005523272828894,0.026884371847623233,1.2817578213641957e-06,2.9607046636934984e-06,0.030000439263231874,1.354259725171249e-06,0.029998188343286113,0.004364342984232846,0.02157771322827043,3.210444675592474e-06,0.02097808889151549,-4.007573497254906e-08,0.03000178670404077,-2.9798449298269664e-06,0.03000843305458304,7.96592377425241e-06,0.029991133656451178,0.0008818119180253497
2020-09-30,0.057994327040513535,0.03000362549305721,0.057999505225444815,0.025519182225363566,2.0292812706465075e-06,0.007019937880671887,0.025028951339455253,0.012400579102139944,0.029993140946668842,0.009975711647806541,-7.713045623526356e-09,0.029992553310207754,3.2114715603227363e-06,0.022945959569323535,0.017526256131909394,0.009525529688158898,0.010037486237458369,-1.7385067608598807e-06,0.019685845154283316,0.03744862234400693,-4.393974037404195e-06,1.326928426905836e-07,5.896241514724409e-07,0.015667903060846446,-2.4523262587236253e-06,6.338782657954788e-07,0.029864480387376695,-2.9666247964706334e-06,-1.7487529372452746e-06,2.4530244405767246e-06,0.014565030346475612,0.022446245571402453,0.013854209982923476,0.024942131477481054,0.014961306651779907,0.04603440279745572,0.011727071942742326,0.03001176856105932,0.02090973621279524,0.017927519038748105,0.016208551495959792,0.05800679306075996,0.02200215486382142,0.007917978867659674,4.3804610648298787e-07,-1.045309549348297e-06,0.05799841109902709,0.02604037513259893,0.05022096933852317,-1.2043425651930068e-06,0.0215758937901266,3.6743601947380754e-06,-4.206253500550683e-08,-2.8154939609080774e-06,0.030002390931439426,-2.6361885380193284e-06,0.030007016107604638,3.175770700673918e-06,0.013144224130014155,0.0008708846842181477
2020-12-31,0.06474212409795367,0.03001071642331403,0.05268792895071657,2.6352097997431078e-06,0.02292968871366669,0.0070286495277753665,0.02503230408004379,0.013795404669263604,0.013944172092415235,0.009966791457766286,1.184045746188487e-06,0.029994594734783057,0.03498076486156334,0.022950188579753422,0.017528363796784782,0.009531678568389665,0.02091098878963467,-5.86035349199221e-07,0.011681254174554127,0.005273952279466093,0.040098541789776496,5.685182261462207e-07,0.020541736322714898,0.0200861686705267,-3.4825627114752974e-07,0.02068399519965294,1.4822845529084398e-08,6.388131319294407e-06,0.014551756420043846,0.0315580532819079,0.014564546108302615,0.02245715945899751,0.013862245919902871,0.02495140185820976,0.017437033355933038,0.0011648442988297938,0.009678320283799847,1.2500029550745924e-06,9.89295411992589e-07,0.016456544423607975,0.03951335931128972,7.138411475318847e-07,0.022008705358794848,0.0018074799410842484,0.00899796872354984,1.4523467438264273e-06,0.05799387044429137,0.008331672091606457,0.05023238680184067,-4.793071567232736e-06,0.021569912986874485,0.01124277750526403,-2.199018080727621e-06,-1.4994139594591273e-06,0.030002715293441486,0.03542644714276932,0.011933231083498983,0.03419498955982554,-2.328614594430672e-06,0.005659094757922115
2021-03-31,0.06408071776643622,0.04595210713470547,0.0700072578039933,-1.3457304166011898e-06,0.028728711444794622,0.007025118616842195,0.014088560461757141,0.014818031204894319,0.053595364767094464,0.01590542966164734,6.818182150908326e-07,0.02999206132782004,0.03497547269117087,0.02294957076112055,-3.2699192038949116e-06,0.03377584247078555,0.020910038267827006,-4.6057886837604884e-07,0.012932904433155189,-1.666928173304373e-06,0.04010206012380355,-2.754358413525775e-07,-1.535436864219577e-06,0.012608739872972724,-9.473801691559519e-07,-1.1348034240911605e-06,-5.937511580057746e-07,5.244149127562691e-06,0.024055672485951404,0.03156002311122891,0.007025974034245797,0.022456500226583218,0.03175290558015797,0.007210040351480671,0.017431388746611272,-1.9434591480382157e-06,1.7178205531966953e-07,0.021439708235693127,1.6470074196556922e-06,0.01646099329479875,0.03769479179606864,-5.54451306262364e-07,0.01340961159298559,0.01907893412388155,0.008994125070901063,3.121171178151559e-06,0.05799530894978801,0.008338417560973133,-7.823463830631119e-07,-6.089328075093906e-07,0.021568562296017092,0.006676746866699052,0.015457495402005474,0.013832423959385375,0.028604168111317097,0.01606413676945995,0.01193170787566754,0.03419854191993482,-1.9172361092550595e-06,0.004319982151458334
2021-06-30,0.07000371743665829,0.04595294998973831,0.0650187147916091,0.011814514546069754,0.028729916391505343,0.007226881868446043,0.016107623801891326,0.02076455956364718,0.05359998812376285,0.004581907055719197,0.01548488029682408,0.01788853049491495,0.03497020685270207,0.005423082714237429,-2.2987017160026537e-06,0.043740262532990466,0.03284169237993965,0.012102642589681748,0.012932193094393142,0.00944208655060847,0.04009368707588314,0.004863771067840011,-7.519462995536113e-07,0.012605189330567129,0.01521186175155872,-2.9505820187936407e-07,-6.359768521413856e-07,-5.2919457902259915e-08,0.03457506123258313,1.7528282458573139e-06,0.007020764895564831,0.022459230959795497,0.023986445227957762,0.017546682887228816,0.017437462866385246,6.231009917639119e-08,-1.5581344382848273e-06,0.005825210285613289,0.012824130381515267,0.015965760472558193,0.036048893703400385,9.566041068870484e-07,0.013368531244496742,0.006932904936168271,0.008994092025799377,-7.836887927197907e-07,0.057996907046497403,0.0020856161649241796,4.835470762642917e-07,-2.1106984159331883e-06,0.02156881483010382,0.00667961960108537,0.015459322362464598,0.003830849020359227,0.028606320986608185,0.010594653117728454,0.011933639057392774,0.03420428566296576,-1.391239809399469e-06,0.002660474237363703
2021-09-30,0.06999901767091973,0.06440338298533496,0.051051786194543036,0.011803829044574747,0.028725665133812493,0.022503363899939413,0.028673277398163954,0.02076624546962095,0.05359904124210396,5.222775959864152e-07,0.015486617350366024,0.017887647915255923,0.03497010820635362,0.005756617933145571,6.849442541153443e-07,0.040287044297165356,0.03284028392375781,0.012098792940806805,0.006612538480593844,0.009437806319922429,0.0212216853082825,0.0048625990267201465,1.7131627502227232e-06,0.012609368935193623,0.0008701972608372492,-4.051616390358962e-07,0.035056076595764936,3.509039510479393e-07,0.03457669939963509,8.518711735458658e-07,0.007025766232825598,0.028698132029196168,0.01137310539918413,0.01755396602644818,0.017439310024193824,-3.229839295064467e-07,-9.95640331187396e-07,0.0058315561817440026,0.012829332093493497,0.017012849895856573,0.014940958363083387,2.5762295909642976e-07,0.006749795002323298,0.009818415360954071,0.008995547093388517,-1.456245428696817e-06,0.029867286624909267,0.016608413289395656,1.0039798021302676e-07,0.02228335635252444,0.0215696990193703,0.0017138033145992642,0.02024044753275553,0.016023046298502906,0.024874863778766305,0.010595323962650971,0.011933367719906152,0.02855472935654093,7.418583895041342e-08,0.0013658604641937867
2021-12-31,0.07000147008214817,0.0625900174661439,0.033229547236649,0.015558320187462976,0.026303111756283075,0.022506868057227652,0.022020094290661443,0.02075734236860058,0.053603698824465085,3.9407327403881767e-07,0.012746855435944858,0.017888020924182783,0.03496670988528797,0.005760229175086604,1.6580826777478638e-06,0.029390534730841328,0.03283899694610051,0.018662464259272857,0.00524280132034638,0.00943671960880961,0.021222211376312496,0.004866956281873722,0.011581394954898929,3.0970231359171185e-06,0.0008706407165215483,7.786525218083399e-07,0.035059303057588836,0.014291235312579793,0.03457510306422666,1.5750279229629363e-06,0.0070289572794755084,0.028802548819174413,0.014081128994627417,0.017557004723818933,0.016072416567448438,0.008719797324223991,0.004232902798937758,0.0058331458528477565,0.008930532380719832,0.002090400332139862,0.008238840414197106,0.005716662118794217,0.02846299180460635,0.01751701694927909,0.006997676639928971,-1.0478974959233645e-06,0.013555915611943026,0.01902724312910464,-2.8248145332741254e-07,0.022283390923166144,0.0215695939487765,-2.3458642031851687e-06,0.020241246699888756,0.01600773957370131,0.015741967116326337,0.010598887709368605,0.011934724069152651,0.016583376342850727,0.017209603884679837,0.01898980243951511
2022-03-31,0.030001156366371805,0.029997827332436472,0.029994936977268568,0.027083901788303184,0.029979635450659247,0.023399216658064114,0.013065756575128895,0.022783983263250342,0.0299978324045738,-1.0741627693600855e-06,0.01274854112514915,0.017882792646150968,0.030005330128877825,0.005759198883656399,0.013300034082391941,0.007599860867047909,0.023005158708673784,0.018663769644524476,0.005241178470717599,0.02660050018440286,0.029998136377158098,0.012338940699936173,0.020102689734104447,0.0036240130207036915,0.012016762406741375,0.03000140485613483,0.015441228933399954,0.03000407661931484,0.023020757585519087,4.4712854530528843e-07,0.0070293541524305446,0.02999977698851345,0.030000459920245207,0.017554055768388595,0.016075102948935303,0.008716814578437176,-3.92325074410011e-06,-9.29306064600582e-07,0.00892927621043842,0.0020843869772431876,0.008240655904690681,0.005717921839514911,0.028464654407679077,0.030001917494384293,0.021689998778056625,0.012319954066308005,-1.2643062818785145e-06,0.019029665543733865,0.02797016732117221,0.02228282651847373,0.02156108576999924,2.1515324989011876e-06,0.020234917203776716,0.013951935332957851,0.007336715239749987,0.010597569820541518,0.0044268119779725034,0.023079047766229953,0.01720960764748708,0.011841266546576143
2022-06-30,0.030004761935379255,0.02999821022811002,0.030008094499105395,0.02642283847611823,0.025871410614983315,0.023396210279429095,0.012845052559691648,0.023835789172507248,0.029998425041189367,1.7385832184860443e-06,0.0127521277753828,0.017236687016354516,0.030007557182732097,3.7174231683671015e-06,0.013302629203184795,0.007603418426131322,2.6579429227538378e-06,0.018665345931888087,5.194633057070328e-09,0.028845878737359602,0.03000017626749385,0.012343725265782717,0.020107156011752166,0.0036332041380425684,0.016226313783073123,0.03000291752749748,0.01544462186372925,0.02482652220968719,-7.154721556967299e-07,1.5680765740560511e-06,0.007033146611942828,0.026233589204904893,0.029997564306865218,0.017596425415229853,0.016079154663815026,0.030001924062177585,-5.955060371357743e-07,7.340408412338421e-07,0.008935546857632086,0.02773080840388035,0.01809275031834896,0.030011368466387252,0.02561860411654251,0.02291241581341932,0.01722794671572999,0.0213444564980013,-1.2127566527914084e-06,0.030005069727964195,0.027972918646536903,0.022284298038085466,0.021565448761598386,0.011901827470730932,0.015818226811772054,0.011067983065669253,0.0073439009391556885,0.010602372999519813,0.004430367340601749,0.011999400955940974,0.004915058847846657,0.007890423532997714
