,weights,cvar,tracking_error,turnover,n_positions,status
2020-12-31,"[ 5.00006767e-02, 1.66660002e-02, 5.00002141e-02,-5.27311752e-07,
  3.34218142e-02, 1.66663205e-02, 2.37855808e-02, 1.36104170e-02,
  5.00000477e-02, 3.48520671e-04, 7.01340770e-07, 3.17211893e-02,
  8.01093795e-03, 3.13554315e-02, 1.78255702e-02,-3.62383511e-07,
  1.51740036e-02,-6.01596424e-07, 2.39573266e-02, 2.41369064e-02,
  9.87811495e-03, 1.66674750e-02, 1.02430224e-02, 6.46094715e-07,
  5.78474757e-07, 1.88920136e-02, 1.66680399e-02, 8.02850299e-03,
 -2.27173470e-07, 1.66672580e-02, 1.10014003e-02, 1.94994778e-02,
  1.17985475e-02, 1.66673327e-02, 1.66669328e-02, 2.75780510e-02,
  6.65625120e-03, 3.28064722e-02, 1.66420287e-02, 1.66656014e-02,
  1.66667902e-02, 5.00010636e-02, 2.00398190e-02, 8.07002694e-03,
  2.59118352e-07,-6.31835087e-07, 5.00007988e-02, 1.22235679e-02,
  3.79243985e-02, 1.94568581e-02, 1.66656544e-02,-1.14100246e-06,
 -9.16101169e-08, 1.66659918e-02, 4.49475035e-02, 1.17376265e-02,
  2.48201832e-07, 2.14328870e-07, 4.91093000e-03, 1.09824112e-02]",0.0024488867256576524,0.0018683622142542395,0.6480434328514365,46,optimal
2021-03-31,"[ 5.00006494e-02, 5.00009087e-02, 5.00005675e-02,-1.95288841e-07,
  3.10501841e-02, 5.10408779e-07, 2.37861357e-02, 1.54218847e-02,
  5.00003353e-02, 1.56388981e-02, 8.67641227e-07, 3.17214619e-02,
  2.43227111e-02, 3.13566953e-02, 3.78241534e-07, 1.32566376e-02,
  1.51730586e-02,-3.71233297e-07, 8.67934907e-03, 1.64520540e-03,
  3.35658181e-02, 1.44978097e-02,-2.28859169e-07, 1.51615869e-02,
  7.36893710e-08, 1.88927276e-02, 1.03375449e-02, 8.02868610e-03,
  4.60491641e-03, 1.66686393e-02, 2.49660205e-07, 3.62181821e-02,
  2.28132098e-02, 1.47263377e-02, 1.86798344e-02, 1.80420560e-02,
  5.30688947e-05, 1.23022407e-02, 1.66425391e-02, 3.76508190e-03,
  3.63586804e-02, 3.57971996e-07, 1.99243882e-02, 2.06730853e-03,
  3.36341482e-07, 2.11334319e-02, 5.00001805e-02, 4.10920704e-03,
  4.39977460e-02, 1.59050316e-02, 2.11429618e-02,-1.75268107e-07,
  2.19091713e-02, 3.40940245e-03, 3.38600843e-02, 1.40972475e-02,
  4.06520789e-08, 2.55687797e-02, 7.19627673e-08, 9.45948839e-03]",0.00206118596779659,0.0017190285785029292,0.5088538641802873,46,optimal
2021-06-30,"[ 5.00001473e-02, 5.00004149e-02, 5.00002372e-02,-9.37834354e-08,
  4.64476676e-02, 6.37777755e-07, 2.93982272e-02, 1.26871623e-02,
  5.00002164e-02, 1.56393316e-02, 4.22080617e-07, 3.17220700e-02,
  2.87620008e-02, 4.08282805e-03, 4.30909491e-07, 1.32564448e-02,
  2.53977205e-02, 7.21271320e-03, 7.09668461e-03, 5.75272038e-03,
  3.53924269e-02, 1.44978284e-02,-1.59061767e-08, 1.51614902e-02,
  1.23803007e-02,-2.38378411e-08, 3.34637708e-02, 4.57016326e-03,
  2.19395387e-02, 1.66686614e-02, 1.92342028e-07, 3.47145710e-02,
  2.28133653e-02, 1.47260754e-02, 1.86802764e-02, 1.12866113e-07,
  1.10891682e-02, 1.23020648e-02, 5.60968219e-03, 1.61527117e-02,
  2.35299724e-02, 2.82768109e-08, 1.99242108e-02, 1.63454982e-02,
  2.83000964e-07, 1.50223057e-02, 5.00003083e-02, 1.21117429e-02,
  2.57999379e-02, 2.86626731e-07, 9.28256119e-03,-4.65277552e-07,
  1.97887550e-02, 3.40959514e-03, 2.59203395e-02, 1.40976503e-02,
  2.39097504e-07, 3.86980678e-02,-3.93725423e-08, 8.44837876e-03]",0.0017022016127625588,0.0015104430631190395,0.320997284520856,46,optimal
2021-09-30,"[ 5.00002030e-02, 5.00002473e-02, 5.00000310e-02, 2.32999269e-07,
  4.64476419e-02, 3.34733649e-07, 2.93982103e-02, 1.96692241e-02,
  5.00002989e-02, 1.56395899e-02, 4.44631445e-07, 2.17982958e-02,
  4.02367414e-02,-5.77480272e-09,-2.45300158e-07, 1.32562868e-02,
  2.97343159e-02, 7.21259994e-03, 7.09680114e-03, 4.73276086e-03,
  3.35499970e-02, 1.44985940e-02,-7.95962299e-08, 2.55818328e-03,
  1.23799044e-02, 1.13375452e-07, 3.34637261e-02, 4.57035588e-03,
  2.79044678e-02, 1.66692717e-02, 2.34055346e-03, 3.47145603e-02,
  2.28130788e-02, 1.47261935e-02, 9.11149190e-03,-2.00547095e-08,
  6.16423531e-03, 1.84950085e-02, 3.72145481e-07, 1.61525977e-02,
  1.54607123e-02,-2.19075864e-08, 1.99245059e-02, 2.08174582e-02,
  1.35564970e-02, 1.50223278e-02, 5.00002375e-02, 1.21124515e-02,
  1.27285797e-02, 1.18843415e-03, 1.28823323e-02,-2.54121582e-07,
  1.97887865e-02, 1.36541414e-02, 2.28279174e-02, 1.40974043e-02,
  1.65222744e-07, 4.21530523e-02, 7.40181825e-08, 8.44857885e-03]",0.0015834044152152568,0.0012648350243477386,0.14762305221009867,47,optimal
2021-12-31,"[ 5.00003220e-02, 4.99999423e-02, 4.63393505e-02, 1.22075300e-02,
  4.64477849e-02, 1.97850363e-07, 2.93993481e-02, 2.60193167e-02,
  5.00000393e-02,-8.88647362e-08, 1.60765691e-02, 1.86098151e-02,
  2.87571330e-02, 3.02120605e-08,-8.07601070e-08, 1.65185181e-02,
  2.57603796e-02, 2.10400454e-02, 7.09660270e-03, 4.73231855e-03,
  2.95641514e-02, 1.12653054e-02, 9.40332828e-08, 8.29598215e-03,
  8.97539808e-03, 9.37315147e-08, 3.34637264e-02, 1.07058760e-02,
  3.35583470e-02, 4.88022606e-08, 1.11676622e-02, 3.47144184e-02,
  2.28126262e-02, 1.47259229e-02, 1.65434820e-02, 4.11454487e-03,
  1.19760572e-03, 1.84942148e-02,-5.60757222e-08, 1.09340949e-02,
  1.22953608e-02, 2.51651550e-08, 9.47551671e-03, 1.41073813e-02,
  1.03002077e-02, 5.08220840e-08, 2.59266268e-02, 2.09909041e-02,
  1.27284214e-02, 1.87671108e-02, 1.28823722e-02,-3.27063431e-07,
  3.34104868e-02, 1.36547265e-02, 2.63576832e-02, 1.40972378e-02,
  1.10571266e-02, 2.36748847e-02, 1.50864558e-02, 5.64913698e-03]",0.0012817343497110935,0.0010804504839104867,0.3187568688735021,49,optimal
2022-03-31,"[ 5.00005738e-02, 5.00000745e-02, 3.37436324e-02, 2.69944593e-02,
  4.08476709e-02, 1.41164469e-07, 1.44768754e-02, 1.56924870e-02,
  4.99999842e-02,-2.73304609e-08, 5.00240928e-03, 1.86093910e-02,
  2.87575242e-02, 1.24409892e-08, 6.60065678e-03, 5.56166615e-03,
  6.22079325e-03, 2.10403708e-02, 7.09649753e-03, 1.48905845e-02,
  2.95648941e-02, 2.85363524e-02, 1.17115050e-02, 8.29618918e-03,
  8.97420184e-03, 1.19805001e-02, 3.05171471e-02, 2.22093726e-02,
  3.35587737e-02,-4.56098799e-08, 1.11677985e-02, 3.82447251e-02,
  2.28129821e-02, 1.47261161e-02, 2.30469908e-02, 4.11514345e-03,
  6.97530587e-07, 3.93249972e-03, 8.02533279e-03, 6.02156402e-03,
  1.22952460e-02,-1.34415991e-07, 9.47602754e-03, 2.52548020e-02,
  1.86954193e-02, 5.77690490e-03, 5.23029997e-03, 2.09911587e-02,
  2.30701777e-02, 4.39350740e-02, 1.28826310e-02, 9.39663060e-08,
  1.75842296e-02, 1.29920757e-02, 1.30257187e-02, 1.55362085e-02,
  2.49494127e-02, 9.45943322e-03,-5.32201782e-09, 1.58667075e-02]",0.0011343273093317454,0.001063420907051603,0.37690960092139864,52,optimal
2022-06-30,"[ 5.00003079e-02, 4.99997296e-02, 3.29316272e-02, 2.41549217e-02,
  4.08476496e-02, 8.41009826e-08, 1.94091921e-02, 1.56925139e-02,
  3.02176308e-02, 4.72541723e-08, 5.00255796e-03, 1.86099449e-02,
  3.97020004e-02,-4.16997732e-08, 6.60127797e-03, 9.60238539e-03,
  6.22084805e-03, 2.10406046e-02, 6.54738223e-03, 2.20555103e-02,
  2.95647225e-02, 1.85106579e-02, 1.17111286e-02, 7.21028953e-03,
  4.06906024e-03, 1.93748081e-02, 3.05171815e-02, 2.17297067e-02,
  5.10080463e-07, 5.40233501e-08, 1.11676645e-02, 3.16206858e-02,
  2.14127420e-02, 3.23989076e-02, 2.89575904e-02, 7.17145864e-03,
  4.51386292e-07, 3.93296312e-03, 8.02534747e-03, 1.45550381e-02,
  1.22953507e-02, 3.06575721e-02, 6.68838593e-03, 2.22163654e-02,
  1.41001847e-02, 5.77710366e-03, 4.85629839e-03, 2.09916102e-02,
  2.34610201e-02, 4.44560530e-02, 1.28828084e-02, 5.53380058e-03,
  1.75844567e-02, 1.27962064e-02, 1.30255209e-02, 1.05886648e-02,
  2.49499071e-02, 5.43610677e-03, 2.97984905e-07, 1.11351431e-02]",0.0014006264629359312,0.0011942210178002431,0.2135148877819345,53,optimal
2022-09-30,"[ 5.00001151e-02, 4.99998334e-02, 3.14863769e-02, 2.41548302e-02,
  4.08471108e-02,-1.79994957e-07, 1.94064326e-02, 1.71699005e-02,
  3.02178037e-02, 7.42737818e-08,-7.22446149e-09, 5.38151552e-03,
  4.25948671e-02,-8.82277228e-08, 8.01863513e-03, 9.60229515e-03,
  6.22082046e-03, 2.10410306e-02, 6.54805054e-03, 2.30454588e-02,
  2.95645250e-02, 1.85106731e-02, 2.42391778e-02, 1.16953181e-07,
  4.06853355e-03, 2.22102875e-02, 3.05172477e-02, 1.33431140e-02,
  4.77600026e-07,-7.62115872e-08, 4.29592083e-02, 2.16389111e-02,
  3.12574830e-02, 2.64629404e-02, 2.89577524e-02, 2.77472303e-02,
  3.86447292e-07, 3.93333094e-03, 8.02569517e-03, 1.45551219e-02,
  1.61387489e-02, 1.32469089e-02, 1.93201246e-02, 2.22162278e-02,
  1.68448475e-02, 7.49046486e-03, 4.85587137e-03, 6.22693551e-03,
  2.34609356e-02, 2.08263784e-02, 2.74628038e-02, 5.53404246e-03,
  1.75845842e-02, 4.21313662e-03, 1.30254073e-02, 1.31200185e-02,
  1.25173154e-02, 1.38605374e-02, 8.75669751e-08, 8.32760855e-03]",0.0015500872224719527,0.001215081505826906,0.26164979104809233,51,optimal
2022-12-30,"[ 4.16925206e-02, 4.99997434e-02, 3.14857793e-02, 2.49751580e-02,
  4.08472638e-02,-1.69099294e-08, 1.44934650e-02, 1.71700443e-02,
  2.81389338e-02, 4.72395306e-03, 2.44944732e-08, 5.38104813e-03,
  4.25944559e-02,-4.96005821e-08, 1.54529543e-02, 2.80732322e-02,
 -2.00796240e-07, 2.10411308e-02, 1.61825239e-02, 2.80998873e-02,
  2.95645157e-02, 2.61725203e-03, 9.58998913e-03, 3.04115028e-08,
  1.88825094e-02, 2.22103200e-02, 2.68971826e-02, 1.33547882e-02,
  9.13541612e-03, 2.12614403e-03, 2.60839328e-02, 2.33714990e-02,
  3.12567897e-02, 2.64628724e-02, 2.12719082e-02, 2.77465861e-02,
  5.38192565e-03, 3.93340069e-03, 8.02551113e-03, 2.05826057e-02,
  1.61386287e-02, 1.53291933e-02, 1.71576402e-02, 1.01497892e-02,
  2.00457482e-02, 7.49043458e-03, 4.85567239e-03, 6.22667589e-03,
  2.34611116e-02, 2.60557636e-02, 2.43204158e-02, 7.79674178e-03,
  1.75846482e-02, 4.21285980e-03, 1.30255410e-02, 1.76707972e-02,
  1.25176665e-02, 8.78504328e-03, 5.42417146e-07, 8.32805647e-03]",0.0016245250402496534,0.0012946357851218477,0.20539038325896503,54,optimal
2023-03-31,"[4.16931155e-02,4.99999846e-02,4.62289458e-02,1.81292829e-02,
 3.59291648e-02,1.36686108e-07,1.25650748e-02,1.96017910e-02,
 2.45975027e-02,4.01194703e-03,2.72549161e-07,5.38156554e-03,
 2.60128788e-02,2.37835630e-03,2.80886788e-02,2.80738752e-02,
 2.34946085e-08,1.81630384e-02,5.70473381e-03,2.81000257e-02,
 1.69524693e-02,4.78213828e-03,2.85935543e-02,1.63261055e-07,
 1.88836842e-02,4.46037124e-02,2.68977559e-02,1.26354943e-02,
 8.19601370e-03,5.18948546e-03,2.60844952e-02,2.33474026e-02,
 2.97386537e-02,2.22098995e-02,5.20617427e-04,2.77471290e-02,
 1.11148177e-02,3.95352186e-03,2.81469056e-07,2.05830344e-02,
 9.53904187e-03,1.53296859e-02,1.42053108e-02,4.91033459e-04,
 2.00445169e-02,7.49034678e-03,1.10693431e-02,6.22730199e-03,
 1.84124715e-02,2.39130295e-02,2.43210781e-02,2.02101982e-02,
 1.75853416e-02,6.43182117e-03,2.94906456e-02,2.13350640e-02,
 9.95724327e-03,4.50165795e-03,5.84090921e-07,1.27495570e-02]",0.0015079293912329582,0.0013424039315965324,0.2599457975931725,52,optimal
