date,Baseline_CVaR,SPY,Equal_Weighted
2010-01-05,0.0009634867152048672,0.002689743889603413,0.0
2010-01-06,-0.0007907534390592017,0.0006997900629810427,-0.0007907534390592017
2010-01-07,0.0019590048146854427,0.00419580419580412,0.0019590048146854427
2010-01-08,0.002960122515885988,0.0033658310120705526,0.002960122515885988
2010-01-11,0.001000893886112201,0.0013880855986116991,0.001000893886112201
2010-01-12,-0.012559251168360408,-0.00935659004273981,-0.012559251168360408
2010-01-13,0.00868399444164238,0.008512126865671599,0.00868399444164238
2010-01-14,-0.00020866652906535233,0.0026592669672795832,-0.00020866652906535233
2010-01-15,-0.009819793685275581,-0.011185424354243523,-0.009819793685275581
2010-01-19,0.011644400149733333,0.012478134110787131,0.011644400149733333
2010-01-20,-0.00831620503992112,-0.010135913384012873,-0.00831620503992112
2010-01-21,-0.015386925682071558,-0.019315801722131654,-0.015386925682071558
2010-01-22,-0.02542444363032319,-0.02218794494542009,-0.02542444363032319
2010-01-25,0.0013842763829117416,0.005096468875136484,0.0013842763829117416
2010-01-26,-0.0030565523378329232,-0.004225522153808892,-0.0030565523378329232
2010-01-27,0.005778236502179974,0.004728419010669338,0.005778236502179974
2010-01-28,-0.005711922136859024,-0.011463738385423028,-0.005711922136859024
2010-01-29,-0.009868042114579412,-0.0108642578125,-0.009868042114579412
2010-02-01,0.011828181771066149,0.015549796371714164,0.011828181771066149
2010-02-02,0.010262090934685164,0.012152144853566638,0.010262090934685164
2010-02-03,-0.002828877063167425,-0.0050426221635250235,-0.002828877063167425
2010-02-04,-0.029263117760114126,-0.030771087245082818,-0.029263117760114126
2010-02-05,0.0030742457125070206,0.0019920318725101804,0.0030742457125070206
2010-02-08,-0.006222018025653942,-0.007206759443339927,-0.006222018025653942
2010-02-09,0.011685586113908799,0.01251564455569465,0.011685586113908799
2010-02-10,-0.0002716850389656412,-0.00185414091470959,-0.0002716850389656412
2010-02-11,0.01129683600420595,0.010402476780185799,0.01129683600420595
2010-02-12,-0.0023047411365548233,-0.0008579482779753622,-0.0023047411365548233
2010-02-16,0.014139439514931242,0.015824337585868653,0.014139439514931242
2010-02-17,0.005011739499827096,0.0047095761381474865,0.005011739499827096
2010-02-18,0.0043931381749367695,0.005889423076923084,0.0043931381749367695
2010-02-19,0.0017523043121948022,0.002031306010276124,0.0017523043121948022
2010-02-22,5.83762617915576e-06,0.00023849272597176174,5.83762617915576e-06
2010-02-23,-0.008808450980263786,-0.012160228898426273,-0.008808450980263786
2010-02-24,0.010130441057586724,0.00917209751387893,0.010130441057586724
2010-02-25,-0.0025233339565290565,-0.0013154747668021605,-0.0025233339565290565
2010-02-26,0.0010612582193206906,0.0005987306909351897,0.0010612582193206906
2010-03-01,0.011929157504116508,0.010411680229775122,0.011929157504116508
2010-03-02,0.002202112621555212,0.002724150183583962,0.002202112621555212
2010-03-03,-0.0010169466024253166,0.0009449562957712931,-0.0010169466024253166
2010-03-04,0.0056566139938231084,0.003068208638187464,0.0056566139938231084
2010-03-05,0.012252778543130586,0.014235294117646902,0.012252778543130586
2010-03-08,0.0010371484708983619,0.00011599582415033893,0.0010371484708983619
2010-03-09,0.0020999768038958795,0.0017397355601949105,0.0020999768038958795
2010-03-10,0.0063513239254730115,0.0043996758133610925,0.0063513239254730115
2010-03-11,0.0046623520232813055,0.004149855907781053,0.0046623520232813055
2010-03-12,-0.0010897162245347577,0.000114797382619658,-0.0010897162245347577
2010-03-15,0.00044288704172729067,0.00022956841138643824,0.00044288704172729067
2010-03-16,0.00591274276357827,0.008033050263943187,0.00591274276357827
2010-03-17,0.00485747411629618,0.005919854280509895,0.00485747411629618
2010-03-18,0.0004571423934370359,-0.0005658669081032297,0.0004571423934370359
2010-03-19,-0.004688662785622638,-0.00498244819386251,-0.004688662785622638
2010-03-22,0.004735915766455703,0.005348810743143195,0.004735915766455703
2010-03-23,0.006455378473286151,0.007018338238623301,0.006455378473286151
2010-03-24,-0.006613734654001875,-0.004833633093525136,-0.006613734654001875
2010-03-25,0.000536770203386072,-0.001694340901389424,0.000536770203386072
2010-03-26,0.0005689620917729925,-0.0005657388549444864,0.0005689620917729925
2010-03-29,0.004512486303438786,0.006339861881580422,0.004512486303438786
2010-03-30,0.0028641996922236087,0.0006749915626054204,0.0028641996922236087
2010-03-31,-0.0037746995961277755,-0.003372681281618828,-0.0037746995961277755
2010-04-01,0.004309009972905136,0.006768189509306133,0.004309009972905136
2010-04-05,0.005728719766001185,0.008179271708683489,0.005728719766001185
2010-04-06,0.0014790292188785888,0.002333851967103673,0.0014790292188785888
2010-04-07,-0.0036814228295418004,-0.005654728905643558,-0.0036814228295418004
2010-04-08,0.002777541288333797,0.0034567350579837175,0.002777541288333797
2010-04-09,0.005826542110869091,0.0065562840315591675,0.005826542110869091
2010-04-12,0.0019570396541722826,0.0015455950540959051,0.0019570396541722826
2010-04-13,0.002082213539256759,0.0007716049382717749,0.002082213539256759
2010-04-14,0.01052098940190297,0.011344861768917136,0.01052098940190297
2010-04-15,0.0033077845032706593,0.0008712698758441828,0.0033077845032706593
2010-04-16,-0.01688006958440499,-0.015886833514690002,-0.01688006958440499
2010-04-19,0.002603055027666314,0.00375939849624074,0.002603055027666314
2010-04-20,0.007181133070748474,0.008922670191672255,0.007181133070748474
2010-04-21,-0.0009208432967561912,-0.001856097827273695,-0.0009208432967561912
2010-04-22,0.007030370767208358,0.002953401881426343,0.007030370767208358
2010-04-23,0.0038072715944325046,0.006543788853746513,0.0038072715944325046
2010-04-26,-0.0012998184392770651,-0.0037923935420957067,-0.0012998184392770651
2010-04-27,-0.021919381710776453,-0.023602349358277208,-0.021919381710776453
2010-04-28,0.004372933139138422,0.007574913668263461,0.004372933139138422
2010-04-29,0.013649754828441281,0.012382531785516848,0.013649754828441281
2010-04-30,-0.01852503342952732,-0.016926941137927254,-0.01852503342952732
2010-05-03,0.013200702573623798,0.012997111752943713,0.013200702573623798
2010-05-04,-0.021307738523724525,-0.023577146616953537,-0.021307738523724525
