,Performance Metrics
Cumulative Returns,1.2376496425522645
Annual Return,0.17508596540809562
Annual Volatility,0.20870712626901242
Sharpe Ratio,0.878065586853418
Max Drawdown,-0.32509416704028354
Calmar Ratio,0.538569999585382
Sortino Ratio,1.2453120634782506
95% CVaR,0.03127472743216031
Annual Turnover,0.0
Alpha,0.02935322421872666
Beta,0.9805386933650829
Information Ratio,0.7447668594334927
Skewness,-0.4476964299828745
Kurtosis,15.335550562731843
