date,SPY
2020-01-02,0.00933823281529178
2020-01-03,-0.0075484301937207565
2020-01-06,0.003802921181934371
2020-01-07,-0.002816240319173824
2020-01-08,0.005345795649396523
2020-01-09,0.006755400976523385
2020-01-10,-0.0028567632208345017
2020-01-13,0.006862549137184315
2020-01-14,-0.0015219692959238529
2020-01-15,0.0022532971038504712
2020-01-16,0.008331680222178228
2020-01-17,0.0031149583579250795
2020-01-21,-0.001961232961788739
2020-01-22,0.0001310057970065337
2020-01-23,0.001146150571438076
2020-01-24,-0.00889702996205688
2020-01-27,-0.016039603960396054
2020-01-28,0.01049842355940167
2020-01-29,-0.0008298204268596399
2020-01-30,0.0032223772506811965
2020-01-31,-0.018146296234974768
2020-02-03,0.007419648578462779
2020-02-04,0.015265642261725443
2020-02-05,0.011540871170903744
2020-02-06,0.0033575642989862597
2020-02-07,-0.005328135152696478
2020-02-10,0.007479749150770765
2020-02-11,0.001718268763170716
2020-02-12,0.006440546313677187
2020-02-13,-0.0010611956137249745
2020-02-14,0.0016095802214781685
2020-02-18,-0.0026033296908144488
2020-02-19,0.004801340508491014
2020-02-20,-0.004104932332755995
2020-02-21,-0.010304630643395485
2020-02-24,-0.03315546300514083
2020-02-25,-0.030321386505132053
2020-02-26,-0.0036787672659124304
2020-02-27,-0.044900376201755576
2020-02-28,-0.0041941719245777165
2020-03-02,0.04329036038675649
2020-03-03,-0.028645650494980024
2020-03-04,0.04206722081676895
2020-03-05,-0.033259346604702644
2020-03-06,-0.016538116591928276
2020-03-09,-0.0780987816444153
2020-03-10,0.0517548371780161
2020-03-11,-0.04875663067604685
2020-03-12,-0.09566936919122004
2020-03-13,0.08549811947870212
2020-03-16,-0.10942347205994918
2020-03-17,0.05396969011535835
2020-03-18,-0.0506052021632758
2020-03-19,0.002124870021248615
2020-03-20,-0.04312911666516284
2020-03-23,-0.025553983969825445
2020-03-24,0.09062318560092897
2020-03-25,0.014950534581429364
2020-03-26,0.05839671299938809
2020-03-27,-0.029776162550590457
2020-03-30,0.032477759332567135
2020-03-31,-0.014924142480211122
2020-04-01,-0.04499037415250695
2020-04-02,0.02305096630001313
2020-04-03,-0.01443563932319547
2020-04-06,0.06715055632823352
2020-04-07,0.0010182055146010782
2020-04-08,0.03356660428025071
2020-04-09,0.015234421131362419
2020-04-13,-0.009112058937572609
2020-04-14,0.029465857953433705
2020-04-15,-0.021248289493690065
2020-04-16,0.004815720998873729
2020-04-17,0.027016580991767514
2020-04-20,-0.017612524461839585
2020-04-21,-0.030340177750536323
2020-04-22,0.022163400758533625
2020-04-23,-3.865033046024369e-05
2020-04-24,0.013914656771799594
2020-04-27,0.014409881061299368
2020-04-28,-0.004584742577978251
2020-04-29,0.026162790697674465
2020-04-30,-0.009307972480777083
2020-05-01,-0.02647801544860362
2020-05-04,0.002784665267976383
2020-05-05,0.009243761412051077
2020-05-06,-0.006784516226301385
2020-05-07,0.012067853212401891
2020-05-08,0.01653605309535422
2020-05-11,0.00022132054592405304
2020-05-12,-0.019951320253724814
2020-05-13,-0.017685794920037634
2020-05-14,0.011990040222179532
2020-05-15,0.0045802104625634055
2020-05-18,0.030445759071555223
2020-05-19,-0.010275350129813177
2020-05-20,0.016995492499815246
2020-05-21,-0.006902564847780179
2020-05-22,0.0019022534386887724
2020-05-26,0.012341171315904731
2020-05-27,0.01485969847796298
2020-05-28,-0.001848034686189437
2020-05-29,0.004450615965249538
2020-06-01,0.0040409769238949345
2020-06-02,0.00829655781112093
2020-06-03,0.013305322128851271
2020-06-04,-0.002626123013130588
2020-06-05,0.025637472283813967
2020-06-08,0.012092960410755138
2020-06-09,-0.0074761364394900776
2020-06-10,-0.0055820835294907445
2020-06-11,-0.05765589070742594
2020-06-12,0.011985502565758699
2020-06-15,0.009325910428708228
2020-06-16,0.019252388982574642
2020-06-17,-0.004136219495381233
2020-06-18,0.0003807282292673797
2020-06-19,-0.005708749956751857
2020-06-22,0.006402672419792754
2020-06-23,0.004598575478874212
2020-06-24,-0.025503355704698083
2020-06-25,0.010736738009465396
2020-06-26,-0.023761269131316043
2020-06-29,0.014711146109241957
2020-06-30,0.012804684468587846
2020-07-01,0.007000557258289186
2020-07-02,0.005499256389859264
2020-07-06,0.015444413869014628
2020-07-07,-0.010331628332373444
2020-07-08,0.007667031763417098
2020-07-09,-0.005706521739130221
2020-07-10,0.010214539491664176
2020-07-13,-0.008657130296574334
2020-07-14,0.012962647108988534
2020-07-15,0.009193466913621773
2020-07-16,-0.0033035237586759303
2020-07-17,0.0029127188724096253
2020-07-20,0.008078515155561572
2020-07-21,0.0021193456520298692
2020-07-22,0.005683695724010285
2020-07-23,-0.011927449562988746
2020-07-24,-0.006451398357221194
2020-07-27,0.00729658265555444
2020-07-28,-0.006346569197541063
2020-07-29,0.012306046013911276
2020-07-30,-0.00356765327695574
2020-07-31,0.007923352340538425
2020-08-03,0.006940104594941321
2020-08-04,0.0038544456784477266
2020-08-05,0.006215020174411112
2020-08-06,0.006694046502603301
2020-08-07,0.0007067137809186885
2020-08-10,0.002985362095531574
2020-08-11,-0.008257321171387333
2020-08-12,0.013941330235260008
2020-08-13,-0.0017823609917565486
2020-08-14,3.188470490700368e-05
2020-08-17,0.0031564851422012374
2020-08-18,0.0021612687919143614
2020-08-19,-0.004154641463956166
2020-08-20,0.0031210191082802208
2020-08-21,0.0035240332719537193
2020-08-24,0.010155335505710461
2020-08-25,0.0034763545255245276
2020-08-26,0.010049623919353268
2020-08-27,0.0021629638785032324
2020-08-28,0.006474886689483039
2020-08-31,-0.003614863829917603
