,Performance Metrics
Cumulative Returns,0.6915701813824393
Annual Return,0.11104229629262985
Annual Volatility,0.20953305605151287
Sharpe Ratio,0.6082447267959656
Max Drawdown,-0.35371915139529414
Calmar Ratio,0.3139278601529155
Sortino Ratio,0.8363953940568157
95% CVaR,0.032204980211204375
Annual Turnover,0.009770578308049262
Alpha,-0.005129417344999387
Beta,0.9805665655004501
Information Ratio,-0.22434343965944248
Skewness,-0.8580830317345032
Kurtosis,16.623163644284304
