,Performance Metrics
Cumulative Returns,1.1266317253351694
Annual Return,0.17216257272645352
Annual Volatility,0.17504856781504688
Sharpe Ratio,0.9953229235444218
Max Drawdown,-0.28200675096112027
Calmar Ratio,0.6104909621478858
Sortino Ratio,1.4275697075650267
95% CVaR,-0.000549597741899785
Annual Turnover,
Alpha (annual),-0.007240726283518795
Beta,0.9838609502219109
Information Ratio,-0.37181208403335547
Skewness,-0.23664317793093337
Kurtosis,3.111447434020104
