date,Hybrid_Model
2020-01-02,0.010488148443444712
2020-01-03,-0.007766494802957194
2020-01-06,0.0037281009395679966
2020-01-07,-0.0026398186086598607
2020-01-08,0.006274173087489423
2020-01-09,0.006395624636698132
2020-01-10,-0.004018508068273292
2020-01-13,0.00880707734864346
2020-01-14,-0.0006043107230998071
2020-01-15,0.0018040033472292217
2020-01-16,0.008919458744833186
2020-01-17,0.0040921721564299175
2020-01-21,-0.0014029725786734073
2020-01-22,0.0019720571471081422
2020-01-23,0.0008869975203159892
2020-01-24,-0.008129662534764884
2020-01-27,-0.016028136140094844
2020-01-28,0.008898647018609571
2020-01-29,-0.0032761708016925666
2020-01-30,0.004754908097463037
2020-01-31,-0.01824290913519553
2020-02-03,0.01068623881722812
2020-02-04,0.017449099564054344
2020-02-05,0.009525996051177037
2020-02-06,0.0031293210891284824
2020-02-07,-0.004558624456252321
2020-02-10,0.0086344206759935
2020-02-11,0.00248257396791216
2020-02-12,0.006228834520803894
2020-02-13,-0.00033810185902526406
2020-02-14,0.001348068186679226
2020-02-18,-0.0016598307891927486
2020-02-19,0.006437840406234601
2020-02-20,-0.005238010477670825
2020-02-21,-0.008316512793608085
2020-02-24,-0.03568934686735951
2020-02-25,-0.02993233916452519
2020-02-26,-0.004336334379283467
2020-02-27,-0.0438273384094416
2020-02-28,-0.0074408166085864185
2020-03-02,0.0455478779797939
2020-03-03,-0.027770331606172323
2020-03-04,0.04261560653119932
2020-03-05,-0.03504073690374784
2020-03-06,-0.012529170022482876
2020-03-09,-0.07523357646156523
2020-03-10,0.04982158134918988
2020-03-11,-0.048713263374750494
2020-03-12,-0.09426752893027561
2020-03-13,0.09529682373197677
2020-03-16,-0.1204741014713252
2020-03-17,0.056188941064372624
2020-03-18,-0.054539491240038304
2020-03-19,0.014467591538652444
2020-03-20,-0.04177051339490775
2020-03-23,-0.020229959748426878
2020-03-24,0.10006640220477794
2020-03-25,0.012240209151310506
2020-03-26,0.06461501776981425
2020-03-27,-0.03602604289067251
2020-03-30,0.032781766433518114
2020-03-31,-0.015165511274331196
2020-04-01,-0.043806748522919096
2020-04-02,0.029892259589326776
2020-04-03,-0.015257154129289211
2020-04-06,0.07127884540657933
2020-04-07,-0.003924096535380082
2020-04-08,0.03246801960562105
2020-04-09,0.01179719361107467
2020-04-13,-0.007197339149972033
2020-04-14,0.029817623753016966
2020-04-15,-0.01862721601293678
2020-04-16,0.0033842470201461243
2020-04-17,0.028142069287881443
2020-04-20,-0.016375751977111767
2020-04-21,-0.032819993443461065
2020-04-22,0.024826414688268503
2020-04-23,-0.0006340496029408975
2020-04-24,0.012701357316660482
2020-04-27,0.01702634284503093
2020-04-28,-0.007603428160530065
2020-04-29,0.02287909019312515
2020-04-30,-0.01155377992936162
2020-05-01,-0.02736352084411848
2020-05-04,0.002738055232887705
2020-05-05,0.00751109814394833
2020-05-06,-0.006354513130041028
2020-05-07,0.009754958870438911
2020-05-08,0.01765382278178976
2020-05-11,-5.287446562880726e-05
2020-05-12,-0.01933772165307331
2020-05-13,-0.017942164823804535
2020-05-14,0.013061862430449326
2020-05-15,0.002644541624466849
2020-05-18,0.03427753508123168
2020-05-19,-0.01101047376348558
2020-05-20,0.01818211325981936
2020-05-21,-0.005620937164652998
2020-05-22,0.0005685994369887686
2020-05-26,0.014446801972102193
2020-05-27,0.01611507260121783
2020-05-28,-0.002339338750474898
2020-05-29,0.005395572680237759
2020-06-01,0.002137919708758902
2020-06-02,0.008185240594748061
2020-06-03,0.016042479691526747
2020-06-04,-0.0016854528595772764
2020-06-05,0.025707770630818985
2020-06-08,0.012148943880859226
2020-06-09,-0.007373206826930312
2020-06-10,-0.004664377798492293
2020-06-11,-0.061181641183345244
2020-06-12,0.015000206208237792
2020-06-15,0.008065146987635064
2020-06-16,0.01917064051429691
2020-06-17,-0.003287724627729092
2020-06-18,0.00027680959776140823
2020-06-19,-0.0068491683673590955
2020-06-22,0.005722950611873414
2020-06-23,0.0035345893897738754
2020-06-24,-0.02455207077370466
2020-06-25,0.013220801391554899
2020-06-26,-0.02672918325198073
2020-06-29,0.01721121546801648
2020-06-30,0.014175670459031479
2020-07-01,0.0036081338727813345
2020-07-02,0.00586144880342666
2020-07-06,0.018864814154992908
2020-07-07,-0.009633539837388705
2020-07-08,0.006555822103376004
2020-07-09,-0.005350394417674625
2020-07-10,0.015340182971374697
2020-07-13,-0.006972754219298247
2020-07-14,0.015359107074984555
2020-07-15,0.009431916730252472
2020-07-16,-0.0026451416482073534
2020-07-17,0.001858132235502287
2020-07-20,0.006656892520206315
2020-07-21,0.004243024951871443
2020-07-22,0.005998933519546648
2020-07-23,-0.010281880358115407
2020-07-24,-0.0051075785851369656
2020-07-27,0.007638835852210718
2020-07-28,-0.006532652983409449
2020-07-29,0.010259090565842033
2020-07-30,-0.0056281140317478735
2020-07-31,-0.00017346296634442214
2020-08-03,0.006834391472471491
2020-08-04,0.00700392934429644
2020-08-05,0.009195251656894304
2020-08-06,0.005499418797356353
2020-08-07,0.0019280147439218148
2020-08-10,0.004844014019243103
2020-08-11,-0.005275376598616705
2020-08-12,0.015387637827906819
2020-08-13,-0.0035952723492145245
2020-08-14,0.00012332730787283482
2020-08-17,0.003938916827900351
2020-08-18,0.0018728232044410323
2020-08-19,-0.0033196398062698826
2020-08-20,0.0034233796982069127
2020-08-21,0.003932367720526602
2020-08-24,0.010537407046396378
2020-08-25,0.003719794341622118
2020-08-26,0.013412531775347134
2020-08-27,0.002243229148522608
2020-08-28,0.007585611729108321
