,Performance Metrics
Cumulative Returns,0.9551477200349094
Annual Return,0.143743134308282
Annual Volatility,0.17469180662051306
Sharpe Ratio,0.8564492260260128
Max Drawdown,-0.2781579884097287
Calmar Ratio,0.5167679530977458
Sortino Ratio,1.2200496541201598
Alpha (annual),0.06264872189307957
Beta,0.6570349856113957
Information Ratio,0.11186807362797022
Skewness,-0.26489862596274155
Kurtosis,3.5037520996285334
