,Performance Metrics
Cumulative Returns,0.6564457330516256
Annual Return,0.10638208068403676
Annual Volatility,0.2137433915082276
Sharpe Ratio,0.5806718797812487
Max Drawdown,-0.3563073711516753
Calmar Ratio,0.2985682848496315
Sortino Ratio,0.7997860006242524
95% CVaR,0.033015606125043694
Annual Turnover,0.0789730022718276
Alpha,-0.007544752210769334
Beta,1.0128764987641903
Information Ratio,-0.23496764440899476
Skewness,-0.7359208729436139
Kurtosis,13.881363279876616
