date,Regime_Aware_CVaR
2020-03-31,-0.013434344192067502
2020-04-01,-0.041339786381966594
2020-04-02,0.03108623895635137
2020-04-03,-0.017230154096749387
2020-04-06,0.06388764101859032
2020-04-07,-0.007851735172575928
2020-04-08,0.030877672127532254
2020-04-09,0.00914410799429505
2020-04-13,-0.008283753953979468
2020-04-14,0.03117764404956328
2020-04-15,-0.018308507201335037
2020-04-16,0.003797335454824025
2020-04-17,0.024037297691463577
2020-04-20,-0.014592646502439924
2020-04-21,-0.029231109471151245
2020-04-22,0.021044559503867598
2020-04-23,0.001298578974625828
2020-04-24,0.011985561277593728
2020-04-27,0.013397808806036058
2020-04-28,-0.009589073408077756
2020-04-29,0.020167981320284113
2020-04-30,-0.010301315259201417
2020-05-01,-0.024257547532466218
2020-05-04,0.0014858923507633673
2020-05-05,0.008932649079896514
2020-05-06,-0.004976263641037119
2020-05-07,0.006437694234734395
2020-05-08,0.015358467231358863
2020-05-11,0.0009169281653916181
2020-05-12,-0.019378264017762346
2020-05-13,-0.01471026881076158
2020-05-14,0.010062347367862032
2020-05-15,0.0052705403371753725
2020-05-18,0.030167132926755904
2020-05-19,-0.01084659879285151
2020-05-20,0.015017495263319476
2020-05-21,-0.006611254182017433
2020-05-22,0.0010274694423453722
2020-05-26,0.010659837717693242
2020-05-27,0.014132413462667888
2020-05-28,0.00026504695183229756
2020-05-29,0.006512734363370034
2020-06-01,0.0012908852665734164
2020-06-02,0.008289682230896845
2020-06-03,0.014056027679114633
2020-06-04,-0.003820739748165298
2020-06-05,0.024218843541360634
2020-06-08,0.009503523077709604
2020-06-09,-0.00690672301058758
2020-06-10,-0.0017558721425243982
2020-06-11,-0.05920716597236852
2020-06-12,0.012881617661260945
2020-06-15,0.006929929584048216
2020-06-16,0.021973813623640377
2020-06-17,-0.0015177549569632867
2020-06-18,0.00045913664179025713
2020-06-19,-0.0064011466214328894
2020-06-22,0.007057420119192117
2020-06-23,0.004224951348431061
2020-06-24,-0.02431697772209072
2020-06-25,0.014183972337875883
2020-06-26,-0.02704168631521935
2020-06-29,0.015314454161980249
2020-06-30,0.014710301666928553
2020-07-01,0.0034488215052889465
2020-07-02,0.006247234429453861
2020-07-06,0.019050920859043915
2020-07-07,-0.010145454361664646
2020-07-08,0.008614795178695797
2020-07-09,-0.006609012095481737
2020-07-10,0.014656912445380966
2020-07-13,-0.006338759060916961
2020-07-14,0.016106835893049502
2020-07-15,0.009127362594552763
2020-07-16,4.157226934700202e-05
2020-07-17,0.0026325822796566386
2020-07-20,0.005196927461302081
2020-07-21,0.0032761823821384393
2020-07-22,0.0043519571683336275
2020-07-23,-0.010018969982864051
2020-07-24,-0.004260166772433749
2020-07-27,0.00814066055576515
2020-07-28,-0.006738105353154234
2020-07-29,0.008766025668906977
2020-07-30,-0.009275407141574989
2020-07-31,0.002037241727243699
2020-08-03,0.005827303461730706
2020-08-04,0.004778645058656048
2020-08-05,0.009744532525502338
2020-08-06,0.005792421245216935
2020-08-07,0.0018655897575979349
2020-08-10,0.0030757006959613994
2020-08-11,-0.003810151619520353
2020-08-12,0.01438081308824336
2020-08-13,-0.0018095123621899387
2020-08-14,-0.0005785809231214919
2020-08-17,0.002533115965555637
2020-08-18,0.002764617727716402
2020-08-19,-0.0027555076663176446
2020-08-20,0.0029320525366471014
2020-08-21,0.0045228500848925905
2020-08-24,0.010668413021360968
2020-08-25,0.0025213338441699455
2020-08-26,0.010604360787853666
2020-08-27,0.0015968456568929586
2020-08-28,0.0067141190294268144
2020-08-31,-0.0028197083166211965
2020-09-01,0.006840705140788697
2020-09-02,0.01624993051971517
2020-09-03,-0.03211245489399365
2020-09-04,-0.006485535922209581
2020-09-08,-0.023672576763220855
2020-09-09,0.019987030873144435
2020-09-10,-0.013448563796486526
2020-09-11,0.005689807283910792
2020-09-14,0.01107642287261209
2020-09-15,0.006232959390404454
2020-09-16,-0.003825521568445119
2020-09-17,-0.007074776688535301
2020-09-18,-0.00795748594754108
2020-09-21,-0.013941850739747692
2020-09-22,0.007819719562942513
2020-09-23,-0.02160012073863861
2020-09-24,0.0013895721755866537
2020-09-25,0.011721279500361267
2020-09-28,0.014294725227583377
2020-09-29,-0.0044834966957084735
2020-09-30,0.00792973677211477
2020-10-01,0.0006760975895419594
2020-10-02,-0.008498551271868484
2020-10-05,0.017212263222983287
2020-10-06,-0.013975879555038933
2020-10-07,0.018387386439853156
2020-10-08,0.009422201039459814
2020-10-09,0.008201201543275898
2020-10-12,0.013884069115686513
2020-10-13,-0.007333341537204737
2020-10-14,-0.005621672422480265
2020-10-15,-0.0027493661723113883
2020-10-16,0.0027162886239842083
2020-10-19,-0.016612986709909853
2020-10-20,0.004841012268249743
2020-10-21,-0.006655358090407783
2020-10-22,0.006898897201494992
2020-10-23,0.0017637643592001498
2020-10-26,-0.01742541785939715
2020-10-27,-0.005941064069601447
2020-10-28,-0.03663025873606514
2020-10-29,0.014257621376787924
2020-10-30,-0.011619480006124078
2020-11-02,0.015220021888019228
2020-11-03,0.01842181274839267
2020-11-04,0.014651462996026671
2020-11-05,0.020434729550320423
2020-11-06,0.0010599789809077013
2020-11-09,0.010252087771166433
2020-11-10,0.00253840042171307
2020-11-11,0.006842443222203288
2020-11-12,-0.009447799621522182
2020-11-13,0.010025546221199062
2020-11-16,0.011281267441789719
2020-11-17,-0.0024396562791738543
2020-11-18,-0.014465881986798549
2020-11-19,0.00511242814118659
2020-11-20,-0.006106880792114651
2020-11-23,0.00872911230498976
2020-11-24,0.017473669952400784
