date,Regime_Aware_CVaR
2020-01-02,0.010300039182636516
2020-01-03,-0.007756773531558604
2020-01-06,0.0037063949124752815
2020-01-07,-0.002797702227662774
2020-01-08,0.006249291601260027
2020-01-09,0.006355722605002378
2020-01-10,-0.004068213787015565
2020-01-13,0.008738160017078004
2020-01-14,-0.0007359998575317631
2020-01-15,0.001774074661416394
2020-01-16,0.008748979382273854
2020-01-17,0.004125171061713255
2020-01-21,-0.0014225169827374675
2020-01-22,0.0019252290267378132
2020-01-23,0.0009599286876071653
2020-01-24,-0.008332667291885901
2020-01-27,-0.0162545175421358
2020-01-28,0.008905193496993511
2020-01-29,-0.00328731137180323
2020-01-30,0.0046901288371047145
2020-01-31,-0.018748348854705766
2020-02-03,0.010119000931128181
2020-02-04,0.017062163896344264
2020-02-05,0.009232686815098696
2020-02-06,0.002977040148067764
2020-02-07,-0.004669170708186636
2020-02-10,0.008350054839611582
2020-02-11,0.002377801899639918
2020-02-12,0.006332119273367347
2020-02-13,-0.00032550055385075177
2020-02-14,0.0013021217582876417
2020-02-18,-0.0017560888915822384
2020-02-19,0.006327513079052313
2020-02-20,-0.005196108704198111
2020-02-21,-0.008581498952453448
2020-02-24,-0.03638248261246102
2020-02-25,-0.030467336683385107
2020-02-26,-0.0045103657936079585
2020-02-27,-0.04509081563705293
2020-02-28,-0.007535419295466855
2020-03-02,0.04452038744772614
2020-03-03,-0.028441501361294412
2020-03-04,0.041618403130541104
2020-03-05,-0.03570145001984621
2020-03-06,-0.012803022715581265
2020-03-09,-0.07901285945335496
2020-03-10,0.04851524301182219
2020-03-11,-0.04975745051088818
2020-03-12,-0.09978609432328912
2020-03-13,0.09008753261540549
2020-03-16,-0.12973693254922894
2020-03-17,0.05463615885808557
2020-03-18,-0.05761514333373287
2020-03-19,0.013388856560036409
2020-03-20,-0.04384433744473678
2020-03-23,-0.021006366227690282
2020-03-24,0.09391992910674771
2020-03-25,0.010829978515390642
2020-03-26,0.06216837569943462
2020-03-27,-0.03648507099534962
2020-03-30,0.031768802741540286
2020-03-31,-0.015612075807720768
2020-04-01,-0.04501624178958943
2020-04-02,0.028947409720376117
2020-04-03,-0.015517024726250087
2020-04-06,0.0686026585481975
2020-04-07,-0.004175228958721874
2020-04-08,0.03187195021858999
2020-04-09,0.011136682220757333
2020-04-13,-0.007648651955734504
2020-04-14,0.029270135010574357
2020-04-15,-0.018922587990250518
2020-04-16,0.0031642626631473627
2020-04-17,0.027106515229142283
2020-04-20,-0.01650627356629275
2020-04-21,-0.03336589647513506
2020-04-22,0.024358807405259454
2020-04-23,-0.000538415477438964
2020-04-24,0.012630902587246027
2020-04-27,0.01643228494309887
2020-04-28,-0.008023137255653777
2020-04-29,0.02221748974582768
2020-04-30,-0.011650624134894644
2020-05-01,-0.027780917128796507
2020-05-04,0.002605078008056233
2020-05-05,0.007569984658719216
2020-05-06,-0.006446997769961925
2020-05-07,0.009493189083056635
2020-05-08,0.017197703032712945
2020-05-11,-0.00015506853551158927
2020-05-12,-0.019534034164839283
2020-05-13,-0.018093698894900277
2020-05-14,0.012786657055445006
2020-05-15,0.0025914276841647104
2020-05-18,0.03306694506863857
2020-05-19,-0.01112069204219199
2020-05-20,0.01764986206595675
2020-05-21,-0.005679007799868971
2020-05-22,0.0005117002881417195
2020-05-26,0.013746467713231635
2020-05-27,0.01562168110513826
2020-05-28,-0.002355556488585511
2020-05-29,0.005160389673617898
2020-06-01,0.0020159594479151905
2020-06-02,0.008116682858764124
2020-06-03,0.015535253605310067
2020-06-04,-0.0022160786882233184
2020-06-05,0.025126094901949655
2020-06-08,0.011644522443740904
2020-06-09,-0.007421623420177977
2020-06-10,-0.0046996079787132595
2020-06-11,-0.06317729391296188
2020-06-12,0.014590731013401147
2020-06-15,0.007841133115386404
2020-06-16,0.018941655260916707
2020-06-17,-0.0032773661915534145
2020-06-18,0.00025945771304687994
2020-06-19,-0.006957688014586419
2020-06-22,0.005742002893027514
2020-06-23,0.0034796176495963537
2020-06-24,-0.024899168896698378
2020-06-25,0.013091846614700949
2020-06-26,-0.02733692358342586
2020-06-29,0.0167848866424633
2020-06-30,0.014006425436929969
2020-07-01,0.00344571078062449
2020-07-02,0.005695426349597937
2020-07-06,0.018579033866110164
2020-07-07,-0.009906374410423446
2020-07-08,0.006601697065431044
2020-07-09,-0.005498532974452375
2020-07-10,0.014697606928801964
2020-07-13,-0.0071482455591710395
2020-07-14,0.015221590451783283
2020-07-15,0.00919856072223604
2020-07-16,-0.0026717219851341715
2020-07-17,0.00179332609518267
2020-07-20,0.00648333964395145
2020-07-21,0.0037207398081005776
2020-07-22,0.005867577286364545
2020-07-23,-0.010647267115151092
2020-07-24,-0.005399304092851661
2020-07-27,0.007384859627296986
2020-07-28,-0.006622599767389838
2020-07-29,0.010062994572276412
2020-07-30,-0.005931858953964033
2020-07-31,-0.0003985017579628474
2020-08-03,0.006916524640005313
2020-08-04,0.006859986327910802
2020-08-05,0.009030383779421737
2020-08-06,0.005475433631576436
2020-08-07,0.001863400308070082
2020-08-10,0.004625022343725393
2020-08-11,-0.005551210366693726
2020-08-12,0.015071914612214713
2020-08-13,-0.0035346103221773847
2020-08-14,0.00016574004732867055
2020-08-17,0.0037496968872063607
2020-08-18,0.001773236211623087
2020-08-19,-0.0032576207997826383
2020-08-20,0.0034035367305792525
2020-08-21,0.003952861903417765
2020-08-24,0.01033160833658292
2020-08-25,0.0036648494788894237
2020-08-26,0.012711505906395084
2020-08-27,0.002135680746237292
2020-08-28,0.007376274433348703
